,fireblock,FalseCall_Count
0,0103  ,272
1,0106  ,5
2,0109  ,404
3,0111  ,1
4,0112  ,63
5,0115  ,218
6,0118  ,329
7,0121  ,217
8,0124  ,174
9,0127  ,70
10,0130  ,668
11,0133  ,263
12,0136  ,69
13,0139  ,17
14,0151  ,104
15,0160  ,1
16,0201  ,2
17,0216R ,4
18,0243  ,50
19,0249  ,16
20,0252  ,249
21,0255  ,159
22,0258  ,73
23,0258R ,7
24,0261  ,44
25,0264  ,82
26,0264R ,1
27,0270  ,37
28,0273  ,82
29,0279  ,53
30,0282  ,57
31,0285  ,52
32,0288  ,55
33,0291  ,46
34,0315  ,41
35,0321  ,66
36,0324  ,127
37,0327  ,34
38,0330  ,30
39,0336  ,51
40,0339  ,92
41,0342  ,250
42,0345  ,109
43,0348  ,44
44,0351  ,409
45,0354  ,67
46,0357  ,87
47,0360  ,550
48,0363  ,202
49,0372  ,452
50,0375  ,698
51,0378  ,295
52,0381  ,194
53,0403  ,242
54,0406  ,347
55,0409  ,369
56,0412  ,139
57,0415  ,208
58,0418  ,60
59,0421  ,49
60,0424  ,199
61,0427  ,249
62,0430  ,345
63,0433  ,24
64,0436  ,115
65,0439  ,38
66,0442  ,21
67,0445  ,40
68,0448  ,88
69,0451  ,656
70,0454  ,7
71,0457  ,23
72,0460  ,40
73,0463  ,35
74,0466  ,90
75,0469  ,89
76,0506  ,20
77,0509  ,7
78,0512  ,15
79,0515  ,38
80,0518  ,14
81,0521  ,18
82,0524  ,26
83,0527  ,34
84,0530  ,21
85,0533  ,17
86,0536  ,13
87,0539  ,20
88,0542  ,19
89,0545  ,77
90,0548  ,104
91,0551  ,48
92,0554  ,10
93,0557  ,38
94,0560  ,14
95,0563  ,88
96,0600  ,2
97,0606  ,54
98,0609  ,31
99,0612  ,70
100,0615  ,66
101,0618  ,81
102,0621  ,134
103,0624  ,81
104,0627  ,114
105,0630  ,34
106,0633  ,31
107,0703  ,127
108,0706  ,137
109,0709  ,122
110,0712  ,86
111,0715  ,53
112,0718  ,73
113,0721  ,73
114,0724  ,272
115,0727  ,75
116,0730  ,43
117,0733  ,161
118,0736  ,60
119,0739  ,26
120,0742  ,66
121,0745  ,49
122,0748  ,48
123,0751  ,56
124,0754  ,42
125,0757  ,26
126,0760  ,46
127,0763  ,49
128,0766  ,99
129,0769  ,87
130,0772  ,60
131,0775  ,46
132,0803  ,72
133,0806  ,55
134,0809  ,34
135,0812  ,98
136,0815  ,49
137,0818  ,59
138,0821  ,19
139,0824  ,26
140,0827  ,25
141,0830  ,30
142,0833  ,25
143,0836  ,20
144,0839  ,17
145,0842  ,57
146,0845  ,15
147,0848  ,19
148,0851  ,15
149,0854  ,28
150,0860  ,33
151,0863  ,49
152,0909  ,39
153,0915  ,23
154,0916  ,66
155,0921  ,40
156,0924  ,13
157,0927  ,16
158,0930  ,13
159,0933  ,45
160,0936  ,52
161,0939  ,11
162,0942  ,12
163,0945  ,64
164,0948  ,91
165,0951  ,60
166,0954  ,47
167,0957  ,42
168,0960  ,69
169,0963  ,79
170,0966  ,50
171,0969  ,16
172,0972  ,25
173,0974  ,17
174,0975  ,23
175,0978  ,30
176,0981  ,78
177,0982  ,16
178,0984  ,28
179,0985  ,45
180,0986  ,59
181,0987  ,41
182,10    ,2
183,1003  ,28
184,1006  ,72
185,1009  ,5
186,1012  ,22
187,1015  ,14
188,1018  ,20
189,1021  ,27
190,1024  ,54
191,1027  ,7
192,1030  ,17
193,1033  ,22
194,1036  ,2
195,1039  ,21
196,1042  ,1
197,1045  ,21
198,1048  ,134
199,1051  ,10
200,1054  ,1
201,1101  ,24
202,1103  ,140
203,1106  ,89
204,1109  ,160
205,1112  ,149
206,1115  ,56
207,1118  ,130
208,1121  ,66
209,1124  ,16
210,1127  ,115
211,1130  ,46
212,1133  ,44
213,1136  ,74
214,1139  ,62
215,1142  ,30
216,1145  ,45
217,1148  ,4
218,1151  ,53
219,1154  ,17
220,1205  ,55
221,1207  ,2
222,1208  ,33
223,1209  ,35
224,1211  ,12
225,1212  ,5
226,1213  ,84
227,1214  ,12
228,1215  ,31
229,1217  ,102
230,1231  ,40
231,1232  ,90
232,1233  ,30
233,1234  ,65
234,1235  ,22
235,1236  ,67
236,1246  ,51
237,1248  ,39
238,1250  ,82
239,1251  ,137
240,1266  ,49
241,1267  ,118
242,1269  ,9
243,1303  ,44
244,1306  ,39
245,1309  ,112
246,1312  ,36
247,1315  ,106
248,1318  ,617
249,1321  ,44
250,1324  ,60
251,1327  ,87
252,1330  ,17
253,1333  ,39
254,1336  ,51
255,1345  ,128
256,1348  ,299
257,1351  ,52
258,1354  ,359
259,1357  ,31
260,1360  ,61
261,1363  ,27
262,1372  ,63
263,1375  ,305
264,1378  ,13
265,1381  ,14
266,1384  ,58
267,1387  ,122
268,1390  ,122
269,1393  ,65
270,1396  ,50
271,1397  ,62
272,1398  ,63
273,1401  ,48
274,1403  ,2
275,1404  ,4
276,1404R ,2
277,1406  ,203
278,1409  ,28
279,1411  ,15
280,1412  ,70
281,1415  ,13
282,1418  ,65
283,1419  ,5
284,1421  ,39
285,1424  ,26
286,1427  ,71
287,1430  ,35
288,1433  ,34
289,1436  ,28
290,1439  ,43
291,1442  ,69
292,1443  ,89
293,1445  ,113
294,1448  ,64
295,1451  ,50
296,1454  ,49
297,1457  ,63
298,1460  ,37
299,1461  ,69
300,1463  ,26
301,1466  ,33
302,1469  ,29
303,1472  ,27
304,1475  ,68
305,1478  ,71
306,1501  ,7
307,1503  ,8
308,1506  ,7
309,1507  ,31
310,1508  ,14
311,1509  ,137
312,1512  ,170
313,1515  ,18
314,1518  ,71
315,1521  ,91
316,1524  ,52
317,1527  ,42
318,16    ,19
319,1603  ,63
320,1604  ,1
321,1605  ,92
322,1606  ,88
323,1608  ,24
324,1609  ,68
325,1633  ,12
326,1636  ,17
327,1703  ,327
328,1703R ,87
329,1706  ,240
330,1706R ,1
331,1709  ,61
332,1709R ,1
333,1712  ,69
334,1712R ,8
335,1715  ,196
336,1718  ,11
337,18    ,2
338,1803  ,127
339,1806  ,23
340,1809  ,16
341,1812  ,78
342,1813  ,18
343,1815  ,37
344,1818  ,133
345,1821  ,178
346,1822  ,7
347,1824  ,54
348,1827  ,95
349,1830  ,17
350,1833  ,35
351,1909  ,17
352,1911  ,3
353,1915  ,35
354,1918  ,5
355,1921  ,41
356,1924  ,19
357,1927  ,16
358,1930  ,14
359,1933  ,65
360,1936  ,332
361,1939  ,26
362,1942  ,29
363,1945  ,79
364,1948  ,74
365,1951  ,79
366,1954  ,30
367,1957  ,58
368,1960  ,95
369,1963  ,60
370,1966  ,16
371,1969  ,28
372,1972  ,21
373,1975  ,74
374,1978  ,34
375,20    ,3
376,2003  ,104
377,2006  ,43
378,2009  ,77
379,2012  ,96
380,2015  ,73
381,2018  ,110
382,2021  ,19
383,2024  ,105
384,2027  ,60
385,2030  ,91
386,2033  ,50
387,2036  ,25
388,2103  ,110
389,2109  ,66
390,2114  ,48
391,2118  ,17
392,2142  ,135
393,2145  ,43
394,2148  ,53
395,2151  ,74
396,2153  ,3
397,2154  ,106
398,2157  ,70
399,2160  ,61
400,2201  ,39
401,2203  ,102
402,2209  ,198
403,2212  ,427
404,2215  ,128
405,2218  ,165
406,2219  ,4
407,2221  ,3
408,2227  ,14
409,2228  ,10
410,2233  ,7
411,2234  ,17
412,2306  ,53
413,2312  ,61
414,2315  ,43
415,2318  ,20
416,2321  ,37
417,2324  ,16
418,2327  ,74
419,2330  ,25
420,2333  ,16
421,2336  ,39
422,2342  ,45
423,2343  ,14
424,2344  ,61
425,2345  ,8
426,2348  ,53
427,2351  ,65
428,2403  ,310
429,2406  ,72
430,2409  ,348
431,2412  ,50
432,2418  ,17
433,2421  ,64
434,2424  ,151
435,2427  ,52
436,2430  ,10
437,2433  ,119
438,2503  ,30
439,2506  ,65
440,2509  ,96
441,2512  ,14
442,2515  ,29
443,2518  ,60
444,2521  ,40
445,2524  ,50
446,2527  ,21
447,2530  ,238
448,2533  ,34
449,2536  ,40
450,2539  ,14
451,2541  ,53
452,2543  ,52
453,2545  ,70
454,2548  ,44
455,2551  ,33
456,2554  ,72
457,2557  ,25
458,2560  ,33
459,2563  ,44
460,2603  ,20
461,2606  ,29
462,2609  ,122
463,2612  ,66
464,2615  ,52
465,2618  ,10
466,2621  ,53
467,2624  ,88
468,2627  ,35
469,2630  ,40
470,2636  ,6
471,2639  ,21
472,2642  ,57
473,27    ,3
474,2718  ,6
475,2719  ,32
476,2721  ,2
477,2722  ,156
478,2724  ,1
479,2726  ,7
480,2728  ,6
481,2729  ,19
482,2826  ,10
483,2827  ,116
484,2830  ,14
485,2839  ,24
486,2842  ,76
487,2843  ,22
488,2845  ,13
489,2854  ,81
490,2857  ,65
491,2860  ,77
492,2863  ,42
493,2864  ,58
494,2865  ,17
495,2866  ,24
496,2867  ,76
497,2872  ,38
498,2873  ,157
499,2875  ,36
500,2876  ,18
501,2881  ,31
502,2882  ,19
503,2883  ,81
504,2894  ,69
505,2895  ,13
506,2896  ,7
507,2897  ,8
508,2903  ,70
509,2906  ,121
510,2909  ,29
511,2912  ,10
512,2915  ,38
513,2918  ,89
514,2921  ,13
515,2930  ,34
516,2933  ,128
517,2936  ,20
518,2939  ,3
519,2942  ,4
520,2945  ,21
521,2948  ,19
522,2951  ,12
523,2954  ,8
524,2957  ,22
525,2960  ,1
526,2963  ,17
527,2969  ,10
528,3003  ,16
529,3006  ,24
530,3009  ,36
531,3012  ,21
532,3015  ,47
533,3018  ,150
534,3021  ,104
535,3024  ,74
536,3027  ,26
537,3030  ,27
538,3033  ,139
539,3036  ,137
540,3039  ,57
541,3042  ,31
542,3045  ,11
543,3048  ,13
544,3103  ,81
545,3106  ,76
546,3109  ,70
547,3112  ,20
548,3115  ,21
549,3118  ,49
550,3121  ,49
551,3124  ,61
552,3127  ,27
553,3130  ,46
554,3133  ,19
555,3136  ,45
556,3139  ,20
557,3142  ,9
558,3145  ,20
559,3146  ,48
560,3203  ,1
561,3206  ,1
562,4082A ,1
563,5188B ,2
564,5188D ,3
565,5289B ,9
566,5289C ,23
567,5290A ,4
568,5290B ,3
569,5290C ,2
570,5290D ,1
571,5390A ,1
572,5390D ,2
573,5391C ,1
574,5391D ,5
575,5395C ,27
576,5491B ,3
577,5591A ,55
578,5591C ,18
579,6106  ,1
580,7121  ,1
581,7127  ,1
582,7130  ,6
583,7136  ,5
584,7142  ,2
585,7151  ,3
586,7154  ,2
587,7166  ,1
588,7203  ,1
589,7215  ,1
590,7227  ,1
591,7245  ,1
592,7248  ,2
593,7251  ,1
594,7284  ,1
595,7303  ,5
596,7309  ,1
597,7312  ,1
598,7327  ,1
599,7333  ,1
600,7336  ,1
601,7348  ,2
602,7360  ,1
603,7403R ,1
604,7409R ,1
605,7430  ,3
606,7433  ,4
607,7436  ,1
608,7439  ,4
609,7442  ,2
610,7445  ,1
611,7448  ,1
612,7451  ,4
613,7454  ,24
614,7457  ,11
615,7460  ,3
616,7463  ,2
617,7466  ,1
618,7469  ,1
619,7472  ,6
620,7475  ,4
621,7478  ,6
622,7481  ,2
623,7484  ,1
624,7490  ,1
625,7493  ,10
626,7496  ,2
627,7499  ,3
628,7548  ,1
629,7594  ,1
630,CCOM  ,1
631,F     ,2
632,FA    ,1
633,FP    ,300
634,INV   ,16
635,L0001 ,2
636,L0002 ,2
637,L0003 ,4
638,L0004 ,21
639,L0005 ,9
640,L0006 ,4
641,L0007 ,5
642,L0009 ,1
643,L0010 ,2
644,L0011 ,4
645,L0012 ,1
646,L0013 ,9
647,L0014 ,1
648,L0015 ,3
649,L0016 ,1
650,L0017 ,1
651,L0019 ,1
652,L0020 ,2
653,L0021 ,4
654,L0022 ,1
655,L0023 ,2
656,L0025 ,1
657,L0026 ,1
658,L0027 ,2
659,L0028 ,4
660,L0030 ,1
661,L0031 ,4
662,L0034 ,1
663,L0038 ,1
664,L0039 ,1
665,L0040 ,1
666,L0045 ,1
667,L0048 ,5
668,L0049 ,1
669,L0050 ,1
670,L0053 ,3
671,L0054 ,4
672,L0055 ,1
673,L0056 ,3
674,L0057 ,1
675,L0059 ,4
676,L0061 ,6
677,L0062 ,4
678,L0063 ,6
679,L0066 ,1
680,L0068 ,3
681,L0069 ,4
682,L0070 ,1
683,L0073 ,2
684,L0075 ,4
685,L0078 ,2
686,L0081 ,2
687,L0082 ,4
688,L0083 ,1
689,L0085 ,1
690,L0086 ,1
691,L0087 ,3
692,L0090 ,4
693,L0095 ,1
694,L0096 ,2
695,L0097 ,4
696,L0101 ,1
697,L0109 ,1
698,L0113 ,1
699,L0118 ,2
700,L0119 ,1
701,L0120 ,1
702,L0122 ,8
703,L0124 ,1
704,L0127 ,9
705,L0128 ,3
706,L0131 ,6
707,L7001 ,1
708,L7007 ,1
709,L7008 ,1
710,LOCOM ,2
711,OP    ,3
712,RP    ,5
713,WCCCA ,5
714,XF    ,2
715,XP    ,47
